scope,category,enum_type,member_name,display_name,is_vip,effect_id,resource_id,default_duration_ms
动态视觉效果,视频转场,TransitionType,分屏下滑,分屏下滑,True,46873416,7337974537683735080,900.0
动态视觉效果,视频转场,TransitionType,前后对比,前后对比,True,10139297,7205856572994490935,1200.0
动态视觉效果,视频转场,TransitionType,剧烈摇晃,剧烈摇晃,True,63047898,7367356130307084838,900.0
动态视觉效果,视频转场,TransitionType,卡片弹出,卡片弹出,True,72605929,7384334283659285032,1000.0
动态视觉效果,视频转场,TransitionType,发光变焦,发光变焦,True,79046595,7402999668767986191,1000.0
动态视觉效果,视频转场,TransitionType,叠化扭曲,叠化扭曲,True,92006146,7439255870896083466,500.0
动态视觉效果,视频转场,TransitionType,可爱爆炸,可爱爆炸,True,8375167,7187674415268631101,800.0
动态视觉效果,视频转场,TransitionType,可爱龙龙,可爱龙龙,True,44314889,7332697146929451546,1000.0
动态视觉效果,视频转场,TransitionType,吃掉,吃掉,True,66629623,7372506069328728585,900.0
动态视觉效果,视频转场,TransitionType,后台切换,后台切换,True,38530921,7320129407799005734,800.0
动态视觉效果,视频转场,TransitionType,向上波动,向上波动,True,4861515,7148734739807998495,5000.0
动态视觉效果,视频转场,TransitionType,向下抖动,向下抖动,True,47241669,7338709911791997480,1300.0
动态视觉效果,视频转场,TransitionType,向下拖拽,向下拖拽,True,9382531,7199528468244075067,800.0
动态视觉效果,视频转场,TransitionType,向左拉屏,向左拉屏,True,1722934,7089311972235153950,500.0
动态视觉效果,视频转场,TransitionType,向左波动,向左波动,True,3971081,7126772940451877406,5000.0
动态视觉效果,视频转场,TransitionType,喜欢,喜欢,True,1600478,7070430644563612191,500.0
动态视觉效果,视频转场,TransitionType,四屏转换,四屏转换,True,46644610,7337612480610308649,1000.0
动态视觉效果,视频转场,TransitionType,四格展开,四格展开,True,81987893,7412560964198863394,500.0
动态视觉效果,视频转场,TransitionType,回忆,回忆,True,4211778,6748220149284737550,500.0
动态视觉效果,视频转场,TransitionType,回忆_II,回忆 II,True,4211779,6748220462746046989,500.0
